Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
134,A Campbell,Cultural identity as a social construct,2000,Intercultural Education,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/14675980050005370,"https://scholar.google.com/scholar?cites=10873766076247812324&as_sdt=2005&sciodt=0,5&hl=en",11,09/05/22 10:13,,10.1080/14675980050005370,,,,,,,134,6.09,134,1,22,"… more than one cultural group, may change their cultural identity in a new cultural context, or may … of cultural identity address the issue of the complexity of individual cultural identity in …",,"https://scholar.google.com/scholar?q=related:5KhxeaJg55YJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
1227,S Hall,Cultural identity and cinematic representation,1989,Framework: The Journal of Cinema and Media,JSTOR,https://www.jstor.org/stable/44111666,"https://scholar.google.com/scholar?cites=5959019385868192348&as_sdt=2005&sciodt=0,5&hl=en",12,09/05/22 10:13,,,,,,,,,1227,37.18,1227,1,33,"… West, put the issue of cultural identity in question. Who emergent, … ,'cultural identity', lays claim. In this paper, then, I seek to open a dialogue, an investigation, on the su of cultural identity …",,"https://scholar.google.com/scholar?q=related:XApXKI-wslIJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
499,J Smolicz,Core values and cultural identity,1981,Ethnic and racial studies,Taylor & Francis,https://www.tandfonline.com/doi/pdf/10.1080/01419870.1981.9993325,"https://scholar.google.com/scholar?cites=12056927453927987751&as_sdt=2005&sciodt=0,5&hl=en",13,09/05/22 10:13,,10.1080/01419870.1981.9993325,,,,,,,499,12.17,499,1,41,"… Ethnic cultural identity is, therefore, a phenomenon which is experienced by both groups and individuals: the group phenomenon is in fact acknowledged by its members who are often …",,"https://scholar.google.com/scholar?q=related:J1oIlqPPUqcJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
383,S Shennan,Introduction: archaeological approaches to cultural identity,2003,Archaeological approaches to cultural identity,taylorfrancis.com,https://www.taylorfrancis.com/chapters/edit/10.4324/9780203111147-4/introduction-archaeological-approaches-cultural-identity-stephen-shennan,"https://scholar.google.com/scholar?cites=10715746341739276671&as_sdt=2005&sciodt=0,5&hl=en",14,09/05/22 10:13,,10.4324/9780203111147-4,,,,,,,383,20.16,383,1,19,The essence of the argument in this book is that the phenomenon of cultural difference raises profound problems for archaeology at all levels of both theory and practice. This …,,"https://scholar.google.com/scholar?q=related:f6mP-oX6tZQJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
70,"L Grossberg, S Hall, P Du Gay",Questions of cultural identity,1996,Identity and Cultural Studies: Is that …,academia.edu,https://www.academia.edu/download/35589381/Identity_and_Cultural_Studies_-_Is_That_all_There_is-.pdf,"https://scholar.google.com/scholar?cites=15676996177106107131&as_sdt=2005&sciodt=0,5&hl=en",15,09/05/22 10:13,PDF,,,,,,,,70,2.69,23,3,26,"There are many surprising aspects of the current success of cultural studies. I want here to focus on one of the most puzzling: namely, that even as the space of cultural studies seems to …",https://www.academia.edu/download/35589381/Identity_and_Cultural_Studies_-_Is_That_all_There_is-.pdf,"https://scholar.google.com/scholar?q=related:-_qQefbgj9kJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
287,W Neill,Urban planning and cultural identity,2003,,taylorfrancis.com,https://www.taylorfrancis.com/books/mono/10.4324/9780203402245/urban-planning-cultural-identity-william-neill,"https://scholar.google.com/scholar?cites=12344198928825014066&as_sdt=2005&sciodt=0,5&hl=en",16,09/05/22 10:13,BOOK,10.4324/9780203402245,,,,,,,287,15.11,287,1,19,"… -planning tales of the three cities selected and what we might learn from this as pulled together in a concluding chapter, a foray into the dense literature dealing with cultural identity, …",,"https://scholar.google.com/scholar?q=related:Mldf_YVnT6sJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
245,H Yim,Cultural identity and cultural policy in South Korea,2002,International journal of cultural policy,Taylor & Francis,https://www.tandfonline.com/doi/pdf/10.1080/10286630290032422,"https://scholar.google.com/scholar?cites=10954075015761754654&as_sdt=2005&sciodt=0,5&hl=en",17,09/05/22 10:13,,10.1080/10286630290032422,,,,,,,245,12.25,245,1,20,"… of cultural identity through the evolution of cultural policy. Firstly, the primary causes of the issue of cultural identity … Subsequently, this article will discuss how the issue of cultural identity …",http://cau.ac.kr/~seronto/KOREAN%20CULTURAL%20IDENTITY.pdf,"https://scholar.google.com/scholar?q=related:Hvp1jTCxBJgJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
135,"J Olivier, M Thoenig, T Verdier",Globalization and the dynamics of cultural identity,2008,Journal of international Economics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022199608000901,"https://scholar.google.com/scholar?cites=17245221104800445992&as_sdt=2005&sciodt=0,5&hl=en",18,09/05/22 10:13,,,,,,,,,135,9.64,45,3,14,… This paper presents a simple model where micro-founded dynamics of cultural identity are endogenous and interact with an international trade equilibrium. This process generates a …,https://serval.unil.ch/resource/serval:BIB_904B62DBDA04.P001/REF.pdf,"https://scholar.google.com/scholar?q=related:KDazyDlVU-8J:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
502,SJ Shennan,Archaeological approaches to cultural identity,2003,,books.google.com,https://books.google.com/books?hl=en&lr=&id=tb-IAgAAQBAJ&oi=fnd&pg=PP1&dq=%22cultural+identity%22&ots=m3N6mbrrXk&sig=S5IVta3DeIfoGjg6H8hw9l2Gv1Y,"https://scholar.google.com/scholar?cites=17159653982970848547&as_sdt=2005&sciodt=0,5&hl=en",19,09/05/22 10:13,BOOK,,,,,,,,502,26.42,502,1,19,… 1 Ethnic concepts in German prehistory: a case study on the relationship between cultural identity and archaeological … Cultural identity and archaeological objectivity …,,"https://scholar.google.com/scholar?q=related:IyWYu2FWI-4J:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
150,C Kosmitzki,The reaffirmation of cultural identity in cross-cultural encounters,1996,Personality and Social Psychology Bulletin,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/0146167296223002,"https://scholar.google.com/scholar?cites=11992698689788622247&as_sdt=2005&sciodt=0,5&hl=en",20,09/05/22 10:13,,10.1177/0146167296223002,,,,,,,150,5.77,150,1,26,"… reaffirmation of the original cultural identity, whereas the other proposes the acquisition of the nonnative cultural identity. In this study, the broad term cultural identity refers to individuals' …",,"https://scholar.google.com/scholar?q=related:p7UkF-ufbqYJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
682,NM Sussman,The dynamic nature of cultural identity throughout cultural transitions: Why home is not so sweet,2000,Personality and social psychology review,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1207/s15327957pspr0404_5,"https://scholar.google.com/scholar?cites=906610746955666647&as_sdt=2005&sciodt=0,5&hl=en",21,09/05/22 10:13,,10.1207/s15327957pspr0404_5,,,,,,,682,31.00,682,1,22,"… The relation among self-concept, cultural identity, and cultural transitions is explored, and in … Shifts in cultural identity are classified as subtractive, additive, affirmative, or intercultural, …",https://www.researchgate.net/profile/Nan-Sussman/publication/247844548_The_Dynamic_Nature_of_Cultural_Identity_Throughout_Cultural_Transitions_Why_Home_Is_Not_So_Sweet/links/56630f8e08ae15e7463134ec/The-Dynamic-Nature-of-Cultural-Identity-Throughout-Cultural-Transitions-Why-Home-Is-Not-So-Sweet.pdf,"https://scholar.google.com/scholar?q=related:1xTYwavtlAwJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
41,"KK White, S Zion, E Kozleski, ...",Cultural identity and teaching,2005,National Institute for Urban …,researchgate.net,https://www.researchgate.net/profile/Shelley-Zion-2/publication/296706752_Cultural_Identity_and_Teaching/links/56da04f608aee73df6cf68ef/Cultural-Identity-and-Teaching.pdf,"https://scholar.google.com/scholar?cites=13588244496053103005&as_sdt=2005&sciodt=0,5&hl=en",22,09/05/22 10:13,PDF,,,,,,,,41,2.41,10,4,17,"… So, even though teachers claim a particular cultural identity, they still remain unique … Use reflection and inquiry as you explore and examine how your own cultural identity emerges and …",https://www.researchgate.net/profile/Shelley-Zion-2/publication/296706752_Cultural_Identity_and_Teaching/links/56da04f608aee73df6cf68ef/Cultural-Identity-and-Teaching.pdf,"https://scholar.google.com/scholar?q=related:nelmJGAkk7wJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
70,CL Singh,New media and cultural identity.,2010,China Media Research,search.ebscohost.com,http://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=1556889X&asa=Y&AN=47714610&h=dOS%2FJFzLjKpMii7HX8atXAQQ3dnN2KvUiX7h9NjBzs5gHLWF6zvzpTVRfe2Pn%2FwSg1V0Txc%2FwKinNgyANsdCgQ%3D%3D&crl=c,"https://scholar.google.com/scholar?cites=15301696589931489670&as_sdt=2005&sciodt=0,5&hl=en",23,09/05/22 10:13,,,,,,,,,70,5.83,70,1,12,This paper explores and examines the interplay of'New media'and'Cultural identity'. New media as the root cause of the processes of cultural change. The change which mainly results …,,"https://scholar.google.com/scholar?q=related:himsB_qLWtQJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
436,"J Linnekin, L Poyer",Cultural identity and ethnicity in the Pacific,1990,,books.google.com,https://books.google.com/books?hl=en&lr=&id=8GNDSzjK4ZYC&oi=fnd&pg=PA1&dq=%22cultural+identity%22&ots=zO6EC7G6x9&sig=kD7Va60V5Vh_vdjwV_dIpnZnuak,"https://scholar.google.com/scholar?cites=6539624881764951539&as_sdt=2005&sciodt=0,5&hl=en",24,09/05/22 10:13,BOOK,,,,,,,,436,13.63,218,2,32,"… The early chapters of this volume examine cultural identity in societies that do not formulate … and New Zealand, Oceanic formulations of cultural identity have begun to penetrate into the …",,"https://scholar.google.com/scholar?q=related:8-XneS5qwVoJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
217,"R Laurence, J Berry",Cultural identity in the Roman Empire,2001,,books.google.com,https://books.google.com/books?hl=en&lr=&id=nDgV5gsY8HMC&oi=fnd&pg=PR7&dq=%22cultural+identity%22&ots=E9IlFi9AbM&sig=1AWBwDRUbTH-WmbSL4LG-P-C8Oo,"https://scholar.google.com/scholar?cites=5088147745734201017&as_sdt=2005&sciodt=0,5&hl=en",25,09/05/22 10:13,BOOK,,,,,,,,217,10.33,109,2,21,… This volume arose from two sessions on the subjects of cultural identity and acculturation at the Theroretical Roman Archaeology Conference held at Reading in April 1995. We would …,https://www.researchgate.net/profile/Nguyen-Trung-Hiep/post/Can-any-one-introduce-any-good-articles-on-cultural-identity/attachment/59d6302779197b807798e42f/AS%3A361269480706053%401463144765027/download/Cultural+Identity+in+the+Roman+Empire.pdf,"https://scholar.google.com/scholar?q=related:uQ4xpWq7nEYJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
28,AS Altugan,The effect of cultural identity on learning,2015,Procedia-Social and Behavioral Sciences,Elsevier,https://www.sciencedirect.com/science/article/pii/S187704281503267X,"https://scholar.google.com/scholar?cites=3855176492476520858&as_sdt=2005&sciodt=0,5&hl=en",26,09/05/22 10:13,,,,,,,,,28,4.00,28,1,7,"… and cultural identity has been … cultural identity plays a significant role in transmission of such values. What is more, the more challenging point for this study is the effect of cultural identity …",https://www.sciencedirect.com/science/article/pii/S187704281503267X/pdf?md5=585462e6ec82fce8dd261af9910f48e4&pid=1-s2.0-S187704281503267X-main.pdf,"https://scholar.google.com/scholar?q=related:mtl_JJhWgDUJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
84,"GM Chen, K Zhang",New media and cultural identity in the global society,2010,Handbook of research on discourse behavior …,igi-global.com,https://www.igi-global.com/chapter/new-media-cultural-identity-global/42819,"https://scholar.google.com/scholar?cites=11010039012274643476&as_sdt=2005&sciodt=0,5&hl=en",27,09/05/22 10:13,,,,,,,,,84,7.00,42,2,12,"… and development of cultural identity. The … of cultural identity. The purpose of this chapter is to unravel the intricate relationships between new media, globalization, and cultural identity …",,"https://scholar.google.com/scholar?q=related:FKLS4SWEy5gJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
475,SP Mohanty,The epistemic status of cultural identity,2000,Reclaiming identity: Realist theory and the predicament …,degruyter.com,https://www.degruyter.com/document/doi/10.1525/9780520924949/pdf#page=39,"https://scholar.google.com/scholar?cites=14653330783120901105&as_sdt=2005&sciodt=0,5&hl=en",28,09/05/22 10:13,,10.1525/9780520924949,,,,,,,475,21.59,475,1,22,"… Every"" obvious"" answer (such as"" It'll have to be one of us, of course!"") begs the question, indicating why our views about cultural identity always involve theoretical presuppositions. The …",https://ojs.library.ubc.ca/index.php/clogic/article/download/192624/189181,"https://scholar.google.com/scholar?q=related:8cM36LUWW8sJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
59,ES Gruen,Cultural fictions and cultural identity,1993,Transactions of the American Philological Association …,JSTOR,https://www.jstor.org/stable/284321,"https://scholar.google.com/scholar?cites=11055527462667014390&as_sdt=2005&sciodt=0,5&hl=en",29,09/05/22 10:13,,,,,,,,,59,2.03,59,1,29,"… Cultural identity is a hot topic in the academy these days. The phenomenon has swept … In fact, the reshaping of academic disciplines in terms of cultural identity is a nationwide …",https://www.ded99.com/sites/default/files/documents/gruen.pdf,"https://scholar.google.com/scholar?q=related:9tDXEKcfbZkJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
45,GA Yep,Approaches to Cultural Identity: Personal Notes from,2004,Communicating ethnic and cultural identity,books.google.com,https://books.google.com/books?hl=en&lr=&id=Ue4CCUhRYa4C&oi=fnd&pg=PA69&dq=%22cultural+identity%22&ots=-z7FE6ghgE&sig=iM8qa4G7EQLxpRRN3SYqedf573g,"https://scholar.google.com/scholar?cites=311401786883505415&as_sdt=2005&sciodt=0,5&hl=en",30,09/05/22 10:13,,,,,,,,,45,2.50,45,1,18,"… this complex concept, different approaches to cultural identity are examined in this chapter. … insights into cultural identity is explored. Second, the nature of cultural identity is examined. …",,"https://scholar.google.com/scholar?q=related:B_2ceUZSUgQJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
493,KL Karst,Paths to belonging: The constitution and cultural identity,1985,NCL Rev.,HeinOnline,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/nclr64&section=21,"https://scholar.google.com/scholar?cites=2993256861651973717&as_sdt=2005&sciodt=0,5&hl=en",31,09/05/22 10:13,,,,,,,,,493,13.32,493,1,37,… and illustrates how our Constitution can aid outsiders in their search for a cultural identity. … A considerable measure of what we call cultural identity begins in the common experience of a …,https://scholarship.law.unc.edu/cgi/viewcontent.cgi?article=3025&context=nclr,"https://scholar.google.com/scholar?q=related:VTZEuEEviikJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
203,R Niezen,A world beyond difference: Cultural identity in the age of globalization,2008,,books.google.com,https://books.google.com/books?hl=en&lr=&id=m8W6xPPdYLcC&oi=fnd&pg=PR8&dq=%22cultural+identity%22&ots=bkPIzA1WEP&sig=ihjKaIBYk6fN68ZnJhCFBFBduF0,"https://scholar.google.com/scholar?cites=2266141663559683798&as_sdt=2005&sciodt=0,5&hl=en",32,09/05/22 10:13,BOOK,,,,,,,,203,14.50,203,1,14,"A World Beyond Difference unpacks the globalization literature and offers a valuable critique: one that is forthright, yet balanced, and draws on the local work of ethnographers to …",,"https://scholar.google.com/scholar?q=related:1g4wI9bzch8J:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
110,F Pedersen,"Nature, religion and cultural identity",1995,Asian Perceptions of Nature: A critical approach,api.taylorfrancis.com,https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9781315026138&type=googlepdf#page=265,"https://scholar.google.com/scholar?cites=9809959647781673911&as_sdt=2005&sciodt=0,5&hl=en",33,09/05/22 10:13,,,,,,,,,110,4.07,110,1,27,… and values-which I shall call The religious environmentalist paradigm'-signifies other concerns than just those about the environ ment and that these are concerns about cultural identity …,,"https://scholar.google.com/scholar?q=related:t1vxAlP6I4gJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
232,JW Berry,Aboriginal cultural identity,1994,,brandonu.ca,http://www3.brandonu.ca/cjns/19.1/cjnsv19no1_pg1-36.pdf,"https://scholar.google.com/scholar?cites=336012242995051538&as_sdt=2005&sciodt=0,5&hl=en",34,09/05/22 10:13,BOOK,,,,,,,,232,8.29,232,1,28,… -being and a secure cultural identity resides in restructuring the … Cultural identity is a concept that has deep roots in social … The following indicates how the concept of cultural identity is …,http://www3.brandonu.ca/cjns/19.1/cjnsv19no1_pg1-36.pdf,"https://scholar.google.com/scholar?q=related:Evzmz1rBqQQJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
240,YY Kim,"Ideology, identity, and intercultural communication: An analysis of differing academic conceptions of cultural identity",2007,Journal of intercultural communication research,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/17475750701737181,"https://scholar.google.com/scholar?cites=4682357844931192115&as_sdt=2005&sciodt=0,5&hl=en",35,09/05/22 10:13,,10.1080/17475750701737181,,,,,,,240,16.00,240,1,15,"… pluralistic turn in academic inquiry into cultural identity, along with an increasing salience of … of cultural identity. Some of the more salient identity conceptions of cultural identity are …",https://www.tandfonline.com/doi/pdf/10.1080/17475750701737181,"https://scholar.google.com/scholar?q=related:MyVj2qYT-0AJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
74,P Gilbert,Cultural identity and political ethics,2010,,books.google.com,https://books.google.com/books?hl=en&lr=&id=5uCqBgAAQBAJ&oi=fnd&pg=PP1&dq=%22cultural+identity%22&ots=FfhCG3AjZe&sig=vQulsiU6_yIU9TiMUSw68NpHnEA,"https://scholar.google.com/scholar?cites=10034306736073004247&as_sdt=2005&sciodt=0,5&hl=en",36,09/05/22 10:13,BOOK,,,,,,,,74,6.17,74,1,12,"… An individual cultural identity in this sense may … cultural identity, I think, that some authors speak of identities as hybrid – the product of cultural mixing. In a second usage cultural identity …",,"https://scholar.google.com/scholar?q=related:19Tw-s8EQYsJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
81,R Pearce,DEVELOPING CULTURAL IDENTITY IN AN INTERNATIONAL ScI-IooL ENVIRONMENT,1998,International education: Principles and practice,books.google.com,https://books.google.com/books?hl=en&lr=&id=kzKFglw_G1cC&oi=fnd&pg=PA44&dq=%22cultural+identity%22&ots=fEoKYsYWy4&sig=plgqT0LTxnJVcnW5NEIefoDBDiQ,"https://scholar.google.com/scholar?cites=3211744579899111023&as_sdt=2005&sciodt=0,5&hl=en",37,09/05/22 10:13,,,,,,,,,81,3.38,81,1,24,"… It seems that the ‘good international school family’differs in their acceptance of alterity, their ability to tolerate diversity without feeling a major threat to their own shared cultural identity. …",,"https://scholar.google.com/scholar?q=related:bzYsyq1okiwJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
79,"PH Gordon, S Meunier",Globalization and French cultural identity,2001,"French Politics, Culture & Society",berghahnjournals.com,https://www.berghahnjournals.com/view/journals/fpcs/19/1/fpcs190102.xml,"https://scholar.google.com/scholar?cites=11689152269145861289&as_sdt=2005&sciodt=0,5&hl=en",38,09/05/22 10:13,,,,,,,,,79,3.76,40,2,21,"… Globalization in its current incarnation may be causing the latest phase of French concerns about cultural identity, but such concerns have a long history. Throughout the 20th century, …",https://www.academia.edu/download/49423811/Globalization_and_French_Cultural_Identi20161007-10140-1kta3lr.pdf,"https://scholar.google.com/scholar?q=related:qezjlw42OKIJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
